Japanese,English
"""類""","""Class"""
"""妻""","""wife"""
"""素""","""Element"""
"""館""","""Hall"""
"""史""","""History"""
"""那""","""Na"""
"""容""","""Contents"""
"""敷""","""Ride"""
"""答""","""Answer"""
"""住""","""Resident"""
"""折""","""Fold"""
"""宿""","""inn"""
"""遊""","""Play"""
"""計""","""Total"""
"""昭""","""Akira"""
"""注""","""note"""
"""造""","""Building"""
"""放""","""Release"""
"""庭""","""garden"""
"""為""","""For"""
"""波""","""wave"""
"""断""","""Cut"""
"""働""","""Work"""
"""格""","""Case"""
"""久""","""Kuru"""
"""背""","""Back"""
"""旅""","""Journey"""
"""続""","""Continue"""
"""広""","""Wide"""
"""線""","""line"""
"""科""","""Department"""
"""北""","""North"""
"""驚""","""Surprise"""
"""売""","""Sale"""
"""廻""","""Turn"""
"""忘""","""Forget"""
"""談""","""Conversation"""
"""産""","""Produced"""
"""降""","""Down"""
"""谷""","""valley"""
"""志""","""Shi"""
"""鳴""","""Nine"""
"""越""","""Echi"""
"""静""","""Still"""
"""押""","""Push"""
"""市""","""city"""
"""走""","""Run"""
"""舞""","""dance"""
"""俺""","""me"""
"""奴""","""guy"""
"""泣""","""Crying"""
"""側""","""side"""
"""像""","""image"""
"""象""","""elephant"""
"""交""","""Match"""
"""洋""","""Western"""
"""号""","""issue"""
"""浮""","""Floating"""
"""頼""","""Your"""
"""房""","""Bunch"""
"""送""","""Send"""
"""詩""","""Poetry"""
"""参""","""three"""
"""異""","""Different"""
"""買""","""Buy"""
"""従""","""Subsection"""
"""南""","""South"""
"""清""","""Qing"""
"""係""","""Section"""
"""諸""","""various"""
"""熱""","""heat"""
"""服""","""clothes"""
"""耳""","""ear"""
"""似""","""Similar"""
"""河""","""river"""
"""怪""","""Mysterious"""
"""秋""","""autumn"""
