Japanese,English
"""案""","""Draft"""
"""差""","""difference"""
"""族""","""Tribe"""
"""争""","""Conflict"""
"""丸""","""Maru"""
"""緒""","""Kio"""
"""句""","""clause"""
"""銀""","""Silver"""
"""未""","""Not"""
"""軽""","""Light"""
"""氣""","""Ki"""
"""版""","""Version"""
"""堂""","""Dodo"""
"""福""","""Fuku"""
"""認""","""Certification"""
"""恋""","""love"""
"""比""","""ratio"""
"""建""","""Building"""
"""衆""","""Public"""
"""毛""","""hair"""
"""察""","""Impression"""
"""腰""","""Wa waist"""
"""快""","""C plle"""
"""煙""","""smoke"""
"""敵""","""enemy"""
"""負""","""negative"""
"""探""","""Exploration"""
"""玉""","""ball"""
"""究""","""Research"""
"""岩""","""rock"""
"""歳""","""age"""
"""隠""","""Hidden"""
"""伊""","""I"""
"""伸""","""Nobu"""
"""応""","""agreement"""
"""団""","""Dan"""
"""歴""","""History"""
"""員""","""Member"""
"""候""","""Weather"""
"""衣""","""Clothing"""
"""微""","""Financial"""
"""筆""","""Brush"""
"""礼""","""Rei"""
"""丁""","""Ding"""
"""源""","""source"""
"""昨""","""last"""
"""羽""","""wing"""
"""宗""","""Sect"""
"""尾""","""tail"""
"""眺""","""View"""
"""転""","""Coloring"""
"""商""","""quotient"""
"""州""","""state"""
"""投""","""Throw"""
"""願""","""Wish"""
"""研""","""Lab"""
"""永""","""Eternal"""
"""介""","""Sango"""
"""留""","""Run"""
"""雄""","""Male"""
"""優""","""Yu"""
"""佐""","""Sa"""
"""器""","""vessel"""
"""証""","""proof"""
"""回""","""times"""
"""鹿""","""deer"""
"""仏""","""Buddha"""
"""髪""","""hair"""
"""國""","""Country"""
"""致""","""A"""
"""叫""","""Scream"""
"""演""","""Performance"""
"""退""","""Retired"""
"""眠""","""Sleep"""
"""刀""","""sword"""
"""弱""","""weak"""
"""個""","""Pieces"""
"""枝""","""branch"""
"""罪""","""sin"""
"""験""","""Experience"""
"""夏""","""summer"""
"""再""","""Re"""
"""職""","""Job"""
"""奇""","""Odd"""
"""視""","""Seeing"""
"""報""","""Rewelry"""
"""節""","""section"""
"""予""","""Prediction"""
"""富""","""wealth"""
"""骨""","""Bone"""
"""善""","""good"""
"""済""","""Already"""
"""写""","""Section"""
"""育""","""Care"""
"""約""","""about"""
"""密""","""Despite"""
"""矢""","""arrow"""
"""弁""","""valve"""
"""床""","""floor"""
"""涙""","""tears"""
"""給""","""Salary"""
"""唯""","""Yui"""
"""仲""","""Friends"""
"""貰""","""I get"""
"""焼""","""Grilled"""
"""腕""","""arm"""
"""陽""","""Yang"""
"""倒""","""Defeat"""
"""坐""","""Saze"""
"""響""","""sound"""
"""坂""","""Slope"""
"""権""","""Right"""
"""描""","""Draw"""
"""勧""","""Recommendation"""
"""即""","""Immediate"""
"""乱""","""Ran"""
"""警""","""Police"""
"""養""","""Cultivation"""
"""犬""","""dog"""
"""岡""","""hill"""
"""姉""","""sister"""
"""価""","""Price"""
"""鼻""","""nose"""
"""条""","""Article"""
"""寒""","""Cold"""
"""坊""","""Bo"""
"""隊""","""Corps"""
"""籠""","""basket"""
"""囲""","""Enclosure"""
"""星""","""Star"""
"""嫌""","""I don't like"""
"""竹""","""bamboo"""
"""黄""","""yellow"""
"""登""","""Climb"""
"""接""","""Contact"""
"""児""","""child"""
"""街""","""Town"""
"""任""","""Join"""
"""寸""","""Dimensions"""
"""祖""","""Ancestor"""
"""刷""","""Print"""
"""飯""","""food"""
"""医""","""Doctor"""
"""板""","""Board"""
"""毒""","""poison"""
"""照""","""Teru"""
"""局""","""Bureau"""
"""肩""","""shoulder"""
"""盛""","""Mori"""
"""森""","""Woods"""
"""壁""","""wall"""
"""婚""","""Marriage"""
"""周""","""Rip"""
"""務""","""Director"""
"""露""","""Russia"""
"""丈""","""height"""
"""鉄""","""iron"""
"""易""","""Easy"""
"""郷""","""Go"""
"""僧""","""monk"""
"""駄""","""Usage"""
"""狂""","""Madness"""
"""織""","""Ori"""
"""境""","""Border"""
"""英""","""British"""
"""布""","""cloth"""
"""習""","""Training"""
"""帯""","""band"""
"""因""","""Causes"""
"""踏""","""Step"""
"""湯""","""Hot water"""
"""移""","""Migration"""
"""倉""","""Kura"""
"""甲""","""A"""
"""低""","""Low"""
"""學""","""Gaku"""
"""積""","""product"""
"""婆""","""hag"""
"""仮""","""tentative"""
"""津""","""Tsu"""
"""訪""","""Visit"""
"""魔""","""Demon"""
"""儀""","""Ritual"""
"""魚""","""fish"""
"""怒""","""Angry"""
"""戻""","""Return"""
"""午""","""OK"""
"""映""","""Film"""
"""枚""","""Sheet"""
"""斯""","""Soo"""
"""修""","""Ship"""
"""印""","""mark"""
"""荒""","""Rough"""
"""束""","""bundle"""
"""晴""","""Haru"""
"""筈""","""Should"""
"""軒""","""Eaves"""
"""樹""","""Tree"""
"""尊""","""Takashi"""
"""純""","""Pure"""
"""休""","""Holiday"""
"""府""","""Prefectural"""
"""怖""","""fear"""
"""香""","""Incense"""
"""統""","""Trip"""
"""玄""","""Gen"""
"""園""","""Garden"""
"""述""","""Story"""
"""沈""","""Sinking"""
"""紅""","""deep red"""
"""著""","""Author"""
"""普""","""Public"""
"""払""","""Payment"""
"""群""","""group"""
"""欲""","""Greed"""
"""逢""","""Ai"""
"""旦""","""Dan"""
"""固""","""Solid"""
"""護""","""Protection"""
"""銭""","""Count"""
"""皇""","""Emperor"""
"""皮""","""leather"""
"""牛""","""Cow"""
"""呉""","""Kure"""
"""秘""","""Secret"""
"""酔""","""Drunk"""
"""捨""","""Discard"""
"""割""","""Discount"""
"""柄""","""Pattern"""
"""危""","""Danger"""
"""甚""","""Jing"""
"""便""","""Field"""
"""騒""","""Noisy"""
"""聴""","""Listening"""
"""短""","""Short"""
"""席""","""seat"""
"""哲""","""Tetsu"""
"""各""","""each"""
"""承""","""Jin"""
"""亡""","""Death"""
"""遣""","""Service"""
"""資""","""Sit"""
"""灯""","""light"""
"""令""","""Ordinance"""
"""舎""","""Ya"""
"""章""","""chapter"""
"""鏡""","""mirror"""
"""値""","""value"""
"""就""","""Employment"""
"""農""","""Agriculture"""
"""燈""","""Light"""
"""傷""","""scratch"""
"""阿""","""A"""
"""殊""","""Special"""
"""冬""","""winter"""
"""勇""","""Yushi"""
"""温""","""Warm"""
"""妹""","""sister"""
"""般""","""General"""
"""筋""","""logic"""
"""激""","""Geki"""
"""領""","""Territory"""
"""這""","""Crawl"""
"""増""","""Increase"""
"""迷""","""Say"""
"""技""","""Skills"""
"""頂""","""Sales"""
"""昼""","""noon"""
"""列""","""Row"""
"""備""","""Bill"""
"""虫""","""insect"""
"""訊""","""Contact"""
"""霊""","""Spirit"""
"""否""","""no"""
"""薬""","""medicine"""
"""互""","""Install"""
"""隣""","""next"""
"""選""","""Selection"""
"""包""","""Pack"""
"""跡""","""Ruins"""
"""傾""","""Tilt"""
"""装""","""Diet"""
"""試""","""Trial"""
"""速""","""Speed"""
"""層""","""layer"""
"""芝""","""Shiba"""
"""詰""","""Clock"""
"""量""","""amount"""
"""勿""","""Hon"""
"""復""","""Return"""
"""到""","""Arrive"""
"""随""","""Sus"""
"""俗""","""Frequency"""
"""奉""","""Suri"""
"""處""","""Place"""
"""浅""","""Shallow"""
"""提""","""Proposal"""
"""浪""","""Nami"""
"""害""","""harm"""
"""貧""","""Poor"""
"""杯""","""Cup"""
"""批""","""Criticism"""
"""紀""","""Ki"""
"""吸""","""Sucking"""
"""幕""","""curtain"""
"""實""","""Real"""
"""借""","""Borrowing"""
"""既""","""Already"""
"""総""","""Total"""
"""輪""","""ring"""
"""敬""","""Kei"""
"""臣""","""Minister"""
"""迎""","""Welcome"""
"""屈""","""Flexible"""
"""脱""","""Detamble"""
"""尋""","""Push"""
"""忠""","""Tadashi"""
"""滅""","""Design"""
"""荷""","""load"""
"""泉""","""Izumi"""
"""遺""","""Remains"""
"""箱""","""box"""
"""宅""","""home"""
"""叔""","""Aunt"""
"""柳""","""willow"""
"""魂""","""soul"""
"""埋""","""Burial"""
"""依""","""Yi"""
"""帝""","""Emperor"""
"""捕""","""Capture"""
"""池""","""pond"""
"""級""","""Class"""
"""秀""","""Hide"""
"""植""","""Planting"""
"""陰""","""shadow"""
"""刺""","""thorn"""
"""伏""","""Fushi"""
"""撃""","""Shoot"""
"""穴""","""hole"""
"""懸""","""Hap"""
"""完""","""Complete"""
"""触""","""Touch"""
"""伯""","""Had"""
"""忍""","""Shinobi"""
"""懐""","""bosom"""
"""隅""","""corner"""
"""了""","""Ritsu"""
"""暴""","""violence"""
"""謂""","""So -so"""
"""珍""","""rare"""
"""区""","""Ward"""
"""洗""","""Washing"""
"""梅""","""plum"""
"""智""","""Satoshi"""
"""迫""","""Push"""
"""健""","""Ken"""
"""惑""","""Description"""
"""基""","""Base"""
"""翌""","""The next"""
"""才""","""Taisho"""
"""称""","""Name"""
"""膝""","""knees"""
"""豊""","""Yutaka"""
"""崎""","""Saki"""
"""剣""","""sword"""
"""厳""","""Strict"""
"""納""","""Day"""
"""展""","""Exhibition"""
"""恥""","""shame"""
"""棒""","""rod"""
"""額""","""amount"""
"""伴""","""Companion"""
"""逆""","""reverse"""
"""閉""","""Closed"""
"""射""","""Shooting"""
"""憶""","""Mind"""
"""瞬""","""Shun"""
"""威""","""Power"""
"""哀""","""Sorrow"""
"""堪""","""Enjoy"""
"""殆""","""Most"""
"""寂""","""Sour"""
"""被""","""Inspired"""
"""斎""","""Sai"""
"""祭""","""Festival"""
"""爺""","""Grandfather"""
"""趣""","""Tasting"""
"""脚""","""leg"""
"""充""","""Mitsu"""
"""講""","""Lecture"""
"""握""","""Hold"""
"""姓""","""Surname"""
"""疲""","""Tired"""
"""染""","""Dyeing"""
"""暫""","""Time"""
"""犯""","""Crime"""
"""辞""","""Resignation"""
"""砂""","""sand"""
"""邪""","""evil"""
"""油""","""oil"""
"""闇""","""darkness"""
"""概""","""Approximately"""
"""遂""","""Supported"""
"""鬼""","""demon"""
"""聖""","""Holy"""
"""汽""","""Step"""
"""舟""","""boat"""
"""順""","""order"""
"""憎""","""Hate"""
"""益""","""Profit"""
"""泊""","""Stay"""
"""陣""","""Team"""
"""慮""","""Consideration"""
"""弾""","""Bullet"""
"""勤""","""Shift"""
"""推""","""Progress"""
"""卓""","""Table"""
"""誌""","""magazine"""
"""仙""","""Sen"""
"""欠""","""Lack"""
"""陸""","""land"""
"""頬""","""cheek"""
"""拠""","""Base"""
"""嬢""","""Miss"""
"""糸""","""thread"""
"""旧""","""Old"""
"""省""","""Ministry"""
"""汝""","""You"""
"""却""","""Replacement"""
"""障""","""Disability"""
"""戯""","""Gyei"""
"""尽""","""Exhaust"""
"""併""","""Combined"""
"""惜""","""I'm sorry"""
"""畳""","""tatami"""
"""姫""","""princess"""
"""検""","""Inspection"""
"""党""","""party"""
"""製""","""Made"""
"""誤""","""Wrong"""
"""呂""","""Lu"""
"""執""","""Advanced"""
"""華""","""flower"""
"""袋""","""bag"""
"""減""","""Reduce"""
"""輩""","""Men"""
"""浜""","""beach"""
"""體""","""Body"""
"""創""","""Creation"""
"""墓""","""Tomb"""
"""當""","""To"""
"""救""","""Salvation"""
"""而""","""Pay"""
"""模""","""Mogi"""
"""燃""","""Fuel"""
"""型""","""Type"""
"""喰""","""Eating"""
"""杉""","""Cedar"""
"""咲""","""Saki"""
"""責""","""Responsibility"""
"""混""","""Mixed"""
"""麗""","""Rei"""
"""亭""","""Tei"""
"""侍""","""samurai"""
"""査""","""Examination"""
"""震""","""Shake"""
"""曜""","""Young"""
"""尚""","""still"""
"""鶴""","""crane"""
"""敗""","""Defeat"""
"""迄""","""Until"""
"""功""","""Gong"""
"""宜""","""Your"""
"""費""","""Expenses"""
"""延""","""Nobu"""
"""除""","""Exclude"""
"""栄""","""Sakae"""
"""踊""","""Dance"""
"""繰""","""Street"""
"""慣""","""Inforcement"""
"""看""","""Nursing"""
"""厭""","""I'm sorry"""
"""賀""","""Ga"""
"""虚""","""Imaginary"""
"""険""","""Rush"""
"""猫""","""Cat"""
"""適""","""Suitable"""
"""駈""","""Fish"""
"""録""","""Record"""
"""泥""","""mud"""
"""歯""","""teeth"""
"""漢""","""Han"""
"""飾""","""Decoration"""
"""机""","""desk"""
"""妾""","""concubine"""
"""椅""","""Chair"""
"""帽""","""Hat"""
"""載""","""Listed"""
"""俳""","""Haiku"""
"""設""","""Established"""
"""帳""","""Book"""
"""浴""","""bath"""
"""吐""","""Vomiting"""
"""刑""","""Penalty"""
"""瀬""","""Se"""
"""慢""","""Pride"""
"""宝""","""Treasure"""
"""竜""","""dragon"""
"""尺""","""Shaku"""
"""扉""","""door"""
"""拝""","""Worship"""
"""簡""","""Simple"""
"""菊""","""chrysanthemum"""
"""愚""","""Fool"""
"""律""","""Ritsu"""
"""革""","""leather"""
"""編""","""Edition"""
"""勘""","""Identity"""
"""規""","""Review"""
"""叩""","""Tap"""
"""司""","""Jiji"""
"""釈""","""Shaku"""
"""弥""","""Ya"""
"""童""","""Child"""
"""袖""","""sleeve"""
"""召""","""Eat"""
"""揚""","""Fried"""
"""宇""","""U"""
"""換""","""Replacement"""
"""辛""","""Spicy"""
"""材""","""Law"""
"""悟""","""Satoru"""
"""努""","""Effort"""
"""廊""","""Corridor"""
"""彦""","""Hiko"""
"""甘""","""Sweet"""
"""羅""","""Ra"""
"""盗""","""Steal"""
"""覧""","""Listing"""
"""輝""","""Teru"""
"""球""","""ball"""
"""眞""","""Shin"""
"""顏""","""Face"""
"""添""","""Included"""
"""闘""","""Fight"""
"""烈""","""Rei"""
"""畑""","""field"""
"""詞""","""Lyrics"""
"""蘭""","""Ran"""
"""丹""","""Tan"""
"""嬉""","""Happy"""
"""収""","""Increase"""
"""則""","""Rules"""
"""兼""","""and"""
"""乳""","""milk"""
"""柱""","""Pillars"""
"""摩""","""Ma"""
"""覗""","""Peek"""
"""釣""","""Fishing"""
"""導""","""Ceremony"""
"""舌""","""tongue"""
"""濃""","""Dark"""
"""算""","""Malfunction"""
"""含""","""Included"""
"""襲""","""Attack"""
"""蔭""","""shade"""
"""旗""","""flag"""
"""斬""","""Slash"""
"""熊""","""bear"""
"""龍""","""Dragon"""
"""嫁""","""Bride"""
"""策""","""Tract"""
"""圧""","""Pressure"""
"""寧""","""Ning"""
"""専""","""Special"""
"""財""","""Goods"""
"""揺""","""Shake"""
"""鮮""","""Fresh"""
"""防""","""Prevention"""
"""偶""","""Even"""
"""築""","""Built"""
"""庵""","""Her"""
"""誘""","""Invitation"""
"""干""","""Dried"""
"""希""","""Rare"""
"""垂""","""Dwarf"""
"""阪""","""Osaka"""
"""停""","""stop"""
"""孫""","""Son"""
"""鉢""","""Pot"""
"""潮""","""tide"""
"""操""","""Operation"""
"""免""","""Exemption"""
"""康""","""Yasushi"""
"""唐""","""Tang"""
"""針""","""needle"""
"""乏""","""Kazuki"""
"""略""","""Omitted"""
"""枕""","""pillow"""
"""蛇""","""snake"""
"""裕""","""Yu"""
"""會""","""Society"""
"""紫""","""purple"""
"""序""","""Introduction"""
"""獄""","""Prison"""
"""對""","""Tai"""
"""練""","""Neri"""
"""抵""","""Mortgage"""
"""遅""","""Slow"""
"""避""","""Avoid"""
"""癖""","""habit"""
"""幼""","""Young"""
"""澄""","""Sumi"""
"""駆""","""Drive"""
"""只""","""only"""
"""扱""","""Handling"""
"""緑""","""green"""
"""繁""","""Shige"""
"""隆""","""Takashi"""
"""巧""","""Skill"""
"""誠""","""Makoto"""
"""狭""","""Narrow"""
"""遇""","""Treatment"""
"""聲""","""Voice"""
"""蒼""","""Ao"""
"""厚""","""Thick"""
"""綱""","""Tsuna"""
"""鋭""","""Sharp"""
"""爲""","""For"""
"""透""","""Toru"""
"""噂""","""rumor"""
"""潜""","""Dive"""
"""封""","""Seal"""
"""愉""","""Pleasure"""
"""牧""","""Maki"""
"""巡""","""Tour"""
"""標""","""Market"""
"""嘘""","""Lie"""
"""裁""","""Court"""
"""乞""","""Beguity"""
"""豆""","""beans"""
"""壇""","""Dan"""
"""靴""","""shoes"""
"""授""","""Course"""
"""典""","""Note"""
"""幽""","""Yu"""
"""唇""","""lips"""
"""茂""","""Shigeru"""
"""届""","""Notification"""
"""麻""","""hemp"""
"""呑""","""Drink"""
"""械""","""Machine"""
"""奪""","""Robailed"""
"""也""","""Ya"""
"""拾""","""Pick up"""
"""属""","""Genus"""
"""挨""","""Gaution"""
"""汚""","""Dirty"""
"""拶""","""Greetings"""
"""帆""","""sail"""
"""抗""","""Anti"""
"""奈""","""Nana"""
"""卒""","""Graduation"""
"""監""","""Director"""
"""鈴""","""bell"""
"""討""","""Bass"""
"""垣""","""Waki"""
"""膳""","""Zen"""
"""駒""","""Koma"""
"""卑""","""Frequent"""
"""亦""","""also"""
"""眉""","""eyebrow"""
"""閣""","""Cabinet"""
"""兎""","""rabbit"""
"""淋""","""Gonen"""
"""営""","""Operation"""
"""粉""","""powder"""
"""拭""","""Wipe"""
"""範""","""Range"""
"""猿""","""monkey"""
"""乃""","""No"""
"""暑""","""Heat"""
"""恵""","""Megumi"""
"""祈""","""Prayer"""
"""謝""","""Thank you"""
"""浦""","""Ura"""
"""較""","""Comparison"""
"""貫""","""Suku"""
"""乾""","""Dry"""
"""奮""","""I'm excited"""
"""管""","""tube"""
"""汗""","""Sweat"""
"""祝""","""Celebration"""
"""系""","""system"""
"""札""","""Bill"""
"""匠""","""Takumi"""
"""湖""","""lake"""
"""勉""","""Study"""
"""貨""","""Core"""
"""憂""","""Yui"""
"""占""","""Fortune"""
"""臭""","""Smell"""
"""悩""","""Trouble"""
"""偉""","""Great"""
"""砲""","""Gun"""
"""尻""","""Ass"""
"""氷""","""ice"""
"""嘆""","""Murry"""
"""貞""","""Sada"""
"""孔""","""Hole"""
"""歸""","""Return"""
"""濁""","""Muddy"""
"""駅""","""station"""
"""堅""","""Hard"""
"""唱""","""Singing"""
"""塔""","""Tower"""
"""馳""","""Spring"""
"""馴""","""Familiar"""
"""曹""","""Cao"""
"""率""","""rate"""
"""涯""","""Life"""
"""庄""","""Sho"""
"""灰""","""Ash"""
"""棄""","""Abandoned"""
"""貸""","""Rental"""
"""叱""","""Scolding"""
"""枯""","""Dead"""
"""徴""","""Charge"""
"""招""","""Invitation"""
"""藝""","""Gei"""
"""暇""","""free"""
"""掻""","""Scratch"""
"""篇""","""Hen"""
"""邸""","""House"""
"""柔""","""Soul"""
"""宣""","""Den"""
"""俊""","""Shun"""
"""賞""","""award"""
"""霧""","""fog"""
"""週""","""week"""
"""禁""","""Prohibition"""
"""豪""","""Australian"""
"""棚""","""shelf"""
"""塩""","""salt"""
"""發""","""Battle"""
"""忽""","""Sudden"""
"""漸""","""Graduated"""
"""尤""","""尤"""
"""郡""","""county"""
"""躍""","""Testament"""
"""整""","""Arrangement"""
"""紋""","""Crest"""
"""塗""","""Painting"""
"""恩""","""End"""
"""稽""","""Rehearsal"""
"""縦""","""vertical"""
"""翁""","""Okina"""
"""匂""","""Smell"""
"""鼠""","""mouse"""
"""効""","""Effect"""
"""凝""","""Elgain"""
"""崩""","""Collapse"""
"""縮""","""Shrinking"""
"""掘""","""Dig"""
"""衝""","""Wind"""
"""唄""","""song"""
"""桜""","""Cherry Blossoms"""
"""蒲""","""Gama"""
"""麦""","""wheat"""
"""訴""","""Appeal"""
"""損""","""loss"""
"""裂""","""Fissure"""
"""滑""","""Slice"""
"""沙""","""Sa"""
"""淡""","""Light"""
"""徹""","""Toru"""
"""喧""","""Hood"""
"""幻""","""Phantom"""
"""堀""","""moat"""
"""央""","""Central"""
"""丘""","""hill"""
"""誇""","""Erotic"""
"""悔""","""Regret"""
"""藩""","""Domain"""
"""笛""","""Flute"""
"""熟""","""Ripe"""
"""締""","""Conclusion"""
"""暖""","""Warm"""
"""葬""","""Funeral"""
"""稿""","""Draft"""
"""偵""","""Reconnaissance"""
"""孤""","""Isolated"""
"""逸""","""Miss"""
"""敏""","""Toshitsu"""
"""儘""","""Aside"""
"""變""","""Change"""
"""骸""","""Skelet"""
"""爵""","""Viscon"""
"""雀""","""sparrow"""
"""課""","""Division"""
"""筑""","""Chiku"""
"""綺""","""Beauty"""
"""県""","""prefecture"""
"""曰""","""I say"""
"""慰""","""Comfort"""
"""巨""","""Giant"""
"""仁""","""Jin"""
"""呆""","""Stunning"""
"""憤""","""Resent"""
"""攻""","""Attack"""
"""曾""","""Great"""
"""超""","""Super"""
"""忙""","""Busy"""
"""裸""","""naked"""
"""鼓""","""Drum"""
"""須""","""Sus"""
"""壮""","""Semi"""
"""猛""","""Fierce"""
"""荘""","""So"""
"""恨""","""Resentment"""
"""惨""","""Share"""
"""寛""","""Hiro"""
"""溜""","""Reservoir"""
"""惡""","""Evil"""
"""僅""","""Little"""
"""稲""","""Rice"""
"""凄""","""Amazing"""
"""顧""","""Advance"""
"""數""","""Number"""
"""肥""","""Ferie"""
"""閑""","""Quiet"""
"""腐""","""Rot"""
"""倍""","""Double"""
"""季""","""Season"""
"""艦""","""Ship"""
"""岳""","""Mt."""
"""菜""","""Vegetable"""
"""寿""","""Kotobuki"""
"""焦""","""Peek"""
"""拘""","""Sticking"""
"""慾""","""Greed"""
"""噛""","""Chewing"""
"""笠""","""Kasa"""
"""脳""","""brain"""
"""孝""","""Takashi"""
"""協""","""Cooperative"""
"""壊""","""Break"""
"""沼""","""Swamp"""
"""慈""","""Ji"""
"""拙""","""I"""
"""狐""","""fox"""
"""宙""","""Sora"""
"""關""","""Seki"""
"""煮""","""Boiled"""
"""肌""","""skin"""
"""符""","""Mark"""
"""賢""","""Ken"""
"""据""","""Up"""
"""斜""","""Diagonal"""
"""揃""","""Care"""
"""拡""","""Expansion"""
"""請""","""Contract"""
"""鶏""","""chicken"""
"""賊""","""Pirate"""
"""彩""","""Aya"""
"""虎""","""tiger"""
"""濡""","""Wet"""
"""悦""","""Joy"""
"""酷""","""Curly"""
"""窮""","""Staff"""
"""紹""","""Introduction"""
"""獣""","""beast"""
"""爆""","""LOL"""
"""測""","""Measurement"""
"""督""","""Daiku"""
"""抑""","""Control"""
"""競""","""Competition"""
"""絹""","""silk"""
"""蓋""","""lid"""
"""經""","""Advanced"""
"""胆""","""Bold"""
"""継""","""Succession"""
"""駕""","""Red"""
"""採""","""Copting"""
"""傳""","""Den"""
"""曇""","""Cloudy"""
"""掌""","""palm"""
"""蓮""","""lotus"""
"""桃""","""peach"""
"""鐘""","""bell"""
"""審""","""Judgment"""
"""彫""","""Carving"""
"""瓦""","""tile"""
"""捜""","""Search"""
"""隔""","""Gap"""
"""隙""","""Gap"""
"""炭""","""Charcoal"""
"""醜""","""Uglage"""
"""湧""","""Spring"""
"""猶""","""Grace"""
"""偽""","""false"""
"""巣""","""nest"""
"""災""","""Disaster"""
"""衰""","""Denge"""
"""宛""","""To"""
"""複""","""Double"""
"""双""","""Twin"""
"""睨""","""Gaze"""
"""掴""","""Grab"""
"""槍""","""spear"""
"""陥""","""Falling"""
"""港""","""Port"""
"""劣""","""Inferior"""
"""歓""","""Joy"""
"""廃""","""Abolished"""
"""洲""","""Su"""
"""臨""","""Rin"""
"""漁""","""Fishing"""
"""撫""","""Strokes"""
"""奏""","""Singing"""
"""補""","""Supplementary"""
"""睡""","""Sleep"""
"""揮""","""Volume"""
"""侯""","""Hou"""
"""塚""","""Tsuka"""
"""網""","""network"""
"""某""","""certain"""
"""磨""","""Polish"""
"""弓""","""bow"""
"""雷""","""Thunder"""
"""鬱""","""Depression"""
"""環""","""ring"""
"""綿""","""cotton"""
"""紳""","""Gen"""
"""貌""","""Appearance"""
"""杖""","""Wand"""
"""皿""","""plate"""
"""丞""","""Jo"""
"""呟""","""Mutter"""
"""戒""","""Kai"""
"""嘩""","""Fight"""
"""襟""","""collar"""
"""縫""","""Sewing"""
"""涼""","""Ryo"""
"""催""","""Event"""
"""盤""","""Board"""
"""銃""","""gun"""
"""拍""","""Beat"""
"""戴""","""Dai"""
"""裾""","""hem"""
"""菓""","""Confectionery"""
"""洩""","""Leak"""
"""狼""","""wolf"""
"""顕""","""Equipment"""
"""担""","""Bring"""
"""鎌""","""Cyle"""
"""飽""","""Seeing"""
"""辻""","""Tsuji"""
"""胡""","""Hu"""
"""臓""","""Gut"""
"""粗""","""Rough"""
"""訓""","""Kuni"""
"""委""","""Committee"""
"""謀""","""Conspiracy"""
"""替""","""Replacement"""
"""惚""","""Love"""
"""遍""","""Public"""
"""粋""","""Cry"""
"""崖""","""cliff"""
"""硝""","""Game"""
"""盾""","""shield"""
"""誉""","""Honor"""
"""詳""","""Details"""
"""炉""","""Furnace"""
"""没""","""Death"""
"""潔""","""Kiyoshi"""
"""餘""","""Ayo"""
"""峰""","""Mine"""
"""敢""","""Darse"""
"""芳""","""Yoshi"""
"""洞""","""Cave"""
"""掃""","""Sweep"""
"""昇""","""Sow"""
"""稀""","""rare"""
"""塵""","""dust"""
"""縛""","""Tie"""
"""喉""","""throat"""
"""税""","""Tax"""
"""珠""","""Bead"""
"""刊""","""Publishing"""
"""冠""","""crown"""
"""矛""","""Control"""
"""冊""","""Book"""
"""讀""","""Reading"""
"""尉""","""Lieutenant"""
"""滝""","""waterfall"""
"""預""","""Deposit"""
"""蒙""","""Meng"""
"""幅""","""width"""
"""企""","""Plan"""
"""銅""","""copper"""
"""縄""","""rope"""
"""瓶""","""bottle"""
"""陳""","""Chen"""
"""脈""","""pulse"""
"""呪""","""Curse"""
"""覆""","""Cover"""
"""窟""","""Cave"""
"""宵""","""evening"""
"""抽""","""Dragon"""
"""署""","""Station"""
"""献""","""Dedication"""
"""衞""","""Ee"""
"""廷""","""Court"""
"""脇""","""side"""
"""尼""","""Nun"""
"""憐""","""Madness"""
"""墨""","""Ink"""
"""觀""","""View"""
"""兩""","""Two"""
"""紛""","""Conflict"""
"""維""","""Rested"""
"""渉""","""Wataru"""
